var_names,X0,X1
0,100,71
1,87,107
2,77,167
3,108,179
4,172,95
5,77,168
6,176,96
7,69,161
8,65,166
9,113,113
10,77,164
11,70,166
12,102,52
13,96,57
14,102,53
15,153,199
16,77,162
17,115,158
18,222,160
19,74,167
20,75,165
21,148,147
22,190,191
23,51,147
24,52,145
25,75,111
26,100,59
27,75,110
28,76,161
29,187,192
30,115,104
31,101,58
32,104,54
33,101,54
34,72,161
35,72,111
36,75,161
37,65,166
38,207,166
39,120,104
40,222,168
41,189,194
42,144,57
43,117,101
44,142,133
45,76,165
46,151,150
47,171,96
48,171,95
49,77,163
50,100,54
51,84,171
52,84,167
53,77,169
54,75,110
55,152,196
56,117,106
57,96,58
58,117,105
59,216,108
60,222,138
61,74,169
62,75,161
63,139,135
64,82,165
65,99,54
66,69,164
67,75,163
68,188,192
69,75,163
70,96,60
71,178,97
72,55,140
73,175,90
74,119,102
75,79,168
76,165,142
77,99,55
78,80,164
79,161,68
80,170,97
81,141,151
82,117,101
83,85,167
84,146,147
85,170,96
86,126,118
87,78,165
88,78,161
89,121,102
90,69,166
91,162,184
92,174,95
93,104,56
94,74,171
95,79,165
96,70,162
97,101,57
98,75,163
99,98,55
100,222,137
101,78,163
102,101,55
103,99,56
104,68,164
105,98,55
106,101,57
107,69,161
108,170,94
109,67,164
110,81,161
111,172,98
112,99,60
113,115,106
114,74,168
115,118,104
116,67,162
117,73,162
118,77,165
119,119,105
120,75,161
121,84,167
122,171,91
123,100,59
124,57,144
125,99,53
126,71,108
127,86,167
128,151,197
129,67,165
130,81,166
131,79,206
132,151,148
133,206,148
134,218,193
135,129,157
136,77,161
137,153,107
138,149,145
139,237,163
140,96,160
141,111,179
142,101,216
143,168,95
144,106,57
145,150,149
146,141,55
147,84,162
148,78,162
149,72,109
150,180,163
151,131,130
152,172,131
153,177,137
154,124,188
155,83,163
156,169,65
157,85,168
158,72,163
159,125,181
160,149,223
161,113,217
162,202,138
163,209,91
164,102,216
165,132,94
166,84,192
167,69,162
168,201,94
169,109,184
170,176,91
171,120,100
172,144,58
173,173,97
174,76,166
175,150,198
176,74,171
177,218,193
178,74,161
179,183,165
180,65,164
181,56,141
182,105,57
183,99,58
184,70,165
185,72,110
186,119,105
187,102,57
188,120,104
189,75,162
190,81,164
191,119,100
192,86,166
193,102,53
194,70,128
195,172,92
196,119,101
197,78,163
198,103,55
199,150,148
200,76,113
201,87,167
202,80,164
203,200,98
204,175,96
205,189,191
206,71,142
207,169,93
208,177,91
209,68,129
210,98,57
211,235,135
212,84,170
213,66,167
214,158,216
215,119,58
216,173,90
217,175,98
218,190,193
219,77,166
220,215,151
221,189,190
222,76,163
223,148,150
224,175,95
225,78,179
226,103,53
227,115,103
228,174,92
229,144,57
230,203,160
231,153,197
232,119,105
233,217,130
234,102,61
235,120,101
236,83,170
237,181,122
238,166,79
239,175,97
240,89,152
241,141,52
242,145,56
243,81,169
244,67,161
245,215,135
246,170,92
247,150,150
248,55,147
249,100,62
250,190,121
251,201,90
252,116,107
253,187,191
254,84,169
255,148,151
256,185,114
257,103,56
258,151,199
259,77,160
260,177,96
261,83,167
262,112,162
263,197,91
264,214,113
265,121,105
266,107,173
267,154,82
268,54,172
269,158,205
270,70,190
271,109,164
272,213,133
273,115,197
274,201,149
275,133,94
276,149,118
277,157,178
278,97,144
279,104,75
280,109,174
281,87,120
282,156,136
283,101,173
284,98,138
285,97,212
286,183,147
287,92,179
288,182,121
289,112,56
290,137,195
291,180,126
292,188,216
293,173,65
294,139,60
295,106,129
296,90,63
297,59,158
298,154,211
299,86,89
300,215,101
301,196,112
302,74,104
303,217,135
304,104,180
305,132,116
306,83,81
307,198,149
308,90,175
309,167,117
310,114,73
311,197,164
312,185,124
313,134,199
314,195,120
315,134,105
316,163,196
317,84,86
318,142,167
319,80,195
320,135,127
321,207,194
322,228,181
323,220,125
324,172,86
325,236,141
326,109,137
327,120,209
328,181,82
329,76,159
330,104,90
331,161,90
332,153,48
333,140,81
334,224,155
335,86,182
336,132,175
337,94,193
338,112,124
339,195,175
340,142,100
341,141,100
342,98,107
343,229,121
344,87,90
345,185,174
346,157,97
347,198,197
348,119,135
349,135,48
350,216,138
351,209,150
352,150,111
353,142,108
354,171,77
355,135,105
356,202,107
357,100,216
358,80,206
359,131,141
360,73,184
361,90,70
362,166,143
363,115,202
364,240,139
365,120,85
366,74,113
367,152,201
368,90,117
369,133,235
370,213,107
371,137,123
372,157,92
373,145,155
374,200,114
375,181,194
376,142,104
377,120,200
378,147,76
379,81,194
380,123,193
381,167,98
382,205,140
383,86,84
384,156,53
385,67,132
386,89,140
387,140,51
388,84,65
389,115,140
390,178,83
391,114,98
392,80,135
393,158,133
394,103,189
395,58,165
396,119,178
397,222,135
398,100,85
399,237,166
400,217,156
401,108,161
402,162,84
403,144,64
404,97,162
405,138,126
406,85,166
407,83,127
408,170,155
409,102,85
410,83,63
411,197,191
412,91,91
413,222,186
414,154,136
415,79,199
416,135,172
417,217,131
418,147,173
419,200,128
420,192,108
421,135,104
422,147,71
423,143,141
424,105,90
425,151,148
426,197,129
427,104,205
428,139,61
429,170,113
430,159,125
431,122,192
432,198,155
