var_names,X0,X1
0,213,181
1,77,209
2,200,72
3,61,160
4,67,172
5,205,215
6,234,166
7,92,157
8,115,187
9,182,227
10,77,142
11,53,206
12,175,136
13,195,227
14,239,72
15,226,54
16,231,99
17,156,166
18,77,166
19,136,196
20,148,102
21,220,60
22,90,184
23,71,142
24,200,163
25,203,157
26,190,72
27,234,124
28,159,172
29,220,139
30,175,190
31,189,227
32,54,203
33,138,163
34,211,190
35,228,93
36,159,69
37,74,178
38,130,130
39,141,133
40,187,72
41,200,108
42,234,136
43,97,196
44,241,75
45,100,172
46,115,114
47,198,184
48,81,166
49,97,209
50,156,75
51,97,117
52,231,178
53,208,111
54,231,81
55,69,200
56,231,203
57,203,151
58,161,102
59,197,169
60,180,218
61,239,139
62,157,193
63,197,78
64,59,206
65,166,190
66,171,102
67,216,90
68,153,99
69,200,193
70,197,181
71,110,172
72,115,175
73,112,102
74,167,139
75,231,172
76,146,196
77,118,145
78,197,212
79,197,66
80,198,136
81,113,190
82,228,57
83,154,78
84,154,90
85,233,236
86,157,139
87,172,136
88,94,148
89,177,139
90,225,209
91,193,108
92,166,209
93,159,190
94,221,178
95,205,57
96,103,203
97,157,181
98,166,136
99,179,203
100,125,114
101,225,148
102,189,111
103,239,157
104,108,102
105,121,120
106,197,108
107,89,212
108,179,105
109,197,163
110,123,87
111,97,130
112,211,166
113,51,148
114,87,154
115,216,163
116,90,178
117,177,187
118,185,203
119,216,84
120,102,169
121,220,230
122,95,139
123,108,187
124,246,187
125,121,187
126,187,175
127,228,51
128,228,87
129,139,203
130,49,169
131,225,178
132,211,111
133,82,139
134,207,193
135,175,148
136,233,157
137,182,233
138,72,187
139,226,108
140,63,145
141,197,127
142,71,184
143,95,175
144,174,163
145,123,99
146,198,99
147,211,105
148,143,105
149,205,87
150,90,196
151,223,236
152,128,151
153,154,206
154,54,209
155,149,184
156,195,99
157,171,230
158,149,178
159,182,166
160,213,224
161,241,227
162,195,69
163,53,169
164,205,221
165,180,181
166,184,163
167,215,51
168,164,127
169,48,142
170,169,178
171,107,117
172,189,215
173,171,163
174,79,157
175,99,139
176,97,203
177,229,54
178,205,184
179,180,114
180,138,102
181,193,163
182,151,72
183,72,212
184,238,124
185,128,102
186,117,105
187,228,154
188,162,124
189,162,111
190,226,206
191,125,187
192,234,209
193,85,187
194,208,209
195,177,60
196,189,190
197,110,184
198,46,145
199,69,169
200,241,87
201,61,209
202,149,93
203,139,196
204,213,157
205,148,157
206,107,154
207,179,166
208,216,151
209,146,184
210,234,81
211,226,90
212,205,227
213,126,190
214,174,200
215,135,120
216,221,154
217,244,99
218,171,175
219,53,145
220,215,57
221,200,175
222,138,145
223,66,163
224,115,157
225,187,120
226,107,142
227,210,212
228,153,203
229,247,209
230,210,145
231,125,157
232,239,236
233,135,206
234,184,175
235,234,93
236,153,69
237,64,203
238,156,215
239,154,114
240,239,212
241,243,193
242,197,139
243,175,184
244,220,163
245,207,169
246,71,209
247,95,181
248,95,127
249,231,154
250,221,196
251,229,133
252,76,169
253,76,181
254,67,203
255,216,114
256,177,96
257,149,105
258,213,139
259,117,142
260,225,105
261,213,200
262,146,130
263,166,81
264,162,160
265,143,178
