var_names,X0,X1
0,208,159
1,74,187
2,58,137
3,64,149
4,113,230
5,200,193
6,230,143
7,244,171
8,88,134
9,111,165
10,178,205
11,74,119
12,49,183
13,171,112
14,191,205
15,139,211
16,157,208
17,152,143
18,62,202
19,74,143
20,67,94
21,79,208
22,131,196
23,132,174
24,144,78
25,85,78
26,87,162
27,67,119
28,246,199
29,195,140
30,199,134
31,230,100
32,155,149
33,215,115
34,171,168
35,184,205
36,51,180
37,134,140
38,207,168
39,82,54
40,70,156
41,126,106
42,137,109
43,49,103
44,195,85
45,230,112
46,93,174
47,96,149
48,111,91
49,103,193
50,83,94
51,194,162
52,77,143
53,93,187
54,93,94
55,226,156
56,204,88
57,80,211
58,127,202
59,82,115
60,61,205
61,92,48
62,106,51
63,66,177
64,113,211
65,226,180
66,199,128
67,157,78
68,192,146
69,176,196
70,234,115
71,153,171
72,56,183
73,161,168
74,166,78
75,129,211
76,148,75
77,195,171
78,192,159
79,106,149
80,111,153
81,108,78
82,163,115
83,59,72
84,226,149
85,142,174
86,114,122
87,192,190
88,194,112
89,109,168
90,249,162
91,150,66
92,72,60
93,87,94
94,75,48
95,54,100
96,54,236
97,83,44
98,228,214
99,53,196
100,131,190
101,153,115
102,87,88
103,168,112
104,90,125
105,173,115
106,220,187
107,106,187
108,189,85
109,161,187
110,155,168
111,92,233
112,217,156
113,80,205
114,246,193
115,161,211
116,100,180
117,153,159
118,48,242
119,161,112
120,174,180
121,121,91
122,220,125
123,184,88
124,234,134
125,105,78
126,118,97
127,77,199
128,192,85
129,85,190
130,174,82
131,192,140
132,119,63
133,93,106
134,207,143
135,83,131
136,121,196
137,59,91
138,212,140
139,87,156
140,103,217
141,173,165
142,181,180
143,98,146
144,215,208
145,157,214
146,92,115
147,105,165
148,241,165
149,74,75
150,103,211
151,118,165
152,183,153
153,135,180
154,54,82
155,220,156
156,207,88
157,79,115
158,96,217
159,202,171
160,171,125
161,228,134
162,178,211
163,69,165
164,221,85
165,59,122
166,192,103
167,67,162
