var_names,X0,X1
0,183,44
1,144,51
2,148,51
3,151,51
4,153,48
5,155,51
6,156,48
7,158,51
8,160,48
9,162,51
10,163,48
11,165,51
12,169,51
13,172,51
14,176,51
15,179,51
16,183,51
17,184,48
18,186,51
19,188,48
20,190,51
21,191,48
22,193,51
23,249,51
24,130,58
25,134,58
26,137,58
27,139,55
28,141,58
29,142,55
30,144,58
31,146,55
32,148,58
33,149,55
34,151,58
35,153,55
36,155,58
37,156,55
38,158,58
39,160,55
40,162,58
41,163,55
42,165,58
43,167,55
44,169,58
45,170,55
46,172,58
47,174,55
48,176,58
49,177,55
50,179,58
51,181,55
52,183,58
53,184,55
54,186,58
55,188,55
56,190,58
57,191,55
58,193,58
59,195,55
60,197,58
61,123,65
62,127,65
63,128,62
64,130,65
65,132,62
66,134,65
67,135,62
68,137,65
69,139,62
70,141,65
71,142,62
72,144,65
73,146,62
74,148,65
75,149,62
76,151,65
77,153,62
78,155,65
79,156,62
80,158,65
81,160,62
82,162,65
83,163,62
84,165,65
85,167,62
86,169,65
87,170,62
88,172,65
89,174,62
90,176,65
91,177,62
92,179,65
93,181,62
94,183,65
95,184,62
96,186,65
97,188,62
98,190,65
99,191,62
100,193,65
101,195,62
102,197,65
103,198,62
104,200,65
105,116,72
106,120,72
107,121,69
108,123,72
109,125,69
110,127,72
111,128,69
112,130,72
113,132,69
114,134,72
115,135,69
116,137,72
117,139,69
118,141,72
119,142,69
120,144,72
121,146,69
122,148,72
123,149,69
124,151,72
125,153,69
126,155,72
127,156,69
128,158,72
129,160,69
130,162,72
131,163,69
132,165,72
133,167,69
134,169,72
135,170,69
136,172,72
137,174,69
138,176,72
139,177,69
140,179,72
141,181,69
142,183,72
143,184,69
144,186,72
145,188,69
146,190,72
147,191,69
148,193,72
149,195,69
150,197,72
151,198,69
152,200,72
153,202,69
154,204,72
155,113,79
156,114,76
157,116,79
158,118,76
159,120,79
160,121,76
161,123,79
162,125,76
163,127,79
164,128,76
165,130,79
166,132,76
167,134,79
168,135,76
169,137,79
170,139,76
171,141,79
172,142,76
173,144,79
174,146,76
175,148,79
176,149,76
177,151,79
178,153,76
179,155,79
180,156,76
181,158,79
182,160,76
183,162,79
184,163,76
185,165,79
186,167,76
187,169,79
188,170,76
189,172,79
190,174,76
191,176,79
192,177,76
193,179,79
194,181,76
195,183,79
196,184,76
197,186,79
198,188,76
199,190,79
200,191,76
201,193,79
202,195,76
203,197,79
204,198,76
205,200,79
206,202,76
207,204,79
208,205,76
209,207,79
210,106,86
211,107,83
212,109,86
213,111,83
214,113,86
215,114,83
216,116,86
217,118,83
218,120,86
219,121,83
220,123,86
221,125,83
222,127,86
223,128,83
224,130,86
225,132,83
226,134,86
227,135,83
228,137,86
229,139,83
230,141,86
231,142,83
232,144,86
233,146,83
234,148,86
235,149,83
236,151,86
237,153,83
238,155,86
239,156,83
240,158,86
241,160,83
242,162,86
243,163,83
244,165,86
245,167,83
246,169,86
247,170,83
248,172,86
249,174,83
250,176,86
251,177,83
252,179,86
253,181,83
254,183,86
255,184,83
256,186,86
257,188,83
258,190,86
259,191,83
260,193,86
261,195,83
262,197,86
263,198,83
264,200,86
265,202,83
266,204,86
267,205,83
