var_names,X0,X1
0,120,215
1,176,72
2,168,72
3,176,85
4,168,98
5,167,85
6,175,98
7,176,125
8,167,125
9,176,111
10,167,111
11,195,71
12,185,72
13,212,71
14,203,71
15,212,84
16,203,98
17,212,98
18,203,84
19,194,97
20,194,84
21,185,85
22,186,98
23,185,109
24,194,110
25,185,124
26,195,123
27,203,124
28,203,110
29,212,110
30,212,124
31,203,164
32,212,164
33,212,150
34,202,137
35,213,137
36,203,150
37,185,151
38,194,163
39,185,164
40,195,151
41,194,137
42,185,137
43,195,176
44,194,190
45,185,177
46,185,190
47,203,176
48,212,176
49,203,190
50,212,189
51,212,201
52,203,215
53,203,201
54,212,215
55,195,216
56,185,202
57,194,202
58,185,216
59,194,228
60,186,228
61,212,228
62,203,228
63,167,164
64,168,151
65,176,152
66,176,138
67,167,138
68,177,165
69,167,177
70,177,190
71,167,190
72,177,177
73,176,216
74,167,203
75,176,203
76,167,216
77,168,229
78,176,228
79,186,242
80,194,242
81,203,241
82,213,241
83,176,242
84,156,84
85,156,97
86,156,124
87,156,110
88,156,137
89,156,150
90,156,163
91,157,189
92,156,176
93,156,215
94,156,201
95,147,71
96,120,71
97,111,71
98,129,71
99,139,71
100,139,98
101,129,84
102,139,85
103,129,98
104,120,98
105,120,84
106,110,98
107,111,84
108,120,111
109,110,111
110,110,124
111,121,125
112,129,110
113,139,111
114,139,125
115,129,125
116,147,84
117,147,98
118,147,111
119,147,125
120,75,72
121,83,72
122,101,71
123,93,71
124,66,72
125,66,98
126,65,86
127,66,112
128,66,125
129,93,98
130,93,85
131,102,98
132,101,84
133,83,85
134,75,98
135,75,85
136,83,98
137,74,111
138,74,125
139,83,111
140,84,125
141,101,125
142,93,124
143,102,112
144,93,111
145,102,151
146,101,137
147,93,138
148,93,151
149,93,164
150,102,164
151,83,138
152,75,164
153,75,138
154,83,164
155,75,151
156,83,151
157,84,177
158,74,177
159,84,190
160,74,190
161,101,177
162,93,178
163,93,190
164,102,191
165,66,138
166,66,164
167,66,151
168,66,190
169,66,177
170,148,150
171,147,164
172,147,137
173,148,176
174,147,190
175,139,151
176,129,137
177,140,163
178,129,163
179,130,150
180,139,138
181,120,138
182,111,137
183,110,163
184,120,150
185,110,151
186,120,164
187,120,190
188,120,177
189,111,190
190,111,177
191,130,177
192,129,191
193,139,191
194,138,178
195,55,110
196,55,124
197,54,151
198,55,137
199,55,163
200,55,190
201,55,176
202,66,216
203,66,203
204,93,215
205,93,203
206,101,203
207,101,216
208,74,216
209,83,203
210,75,203
211,84,216
212,139,202
213,139,216
214,130,217
215,130,203
216,110,202
217,111,215
218,120,202
219,222,98
220,231,97
221,230,84
222,222,84
223,222,125
224,230,125
225,221,111
226,231,110
227,231,150
228,221,139
229,222,164
230,221,150
231,231,164
232,231,137
233,221,189
234,222,177
235,230,176
236,231,189
237,222,215
238,221,203
239,231,202
240,231,215
241,222,228
242,83,228
243,75,230
244,102,229
245,93,229
246,111,229
247,120,230
248,129,230
249,139,229
250,102,242
251,92,242
252,120,241
253,110,241
254,129,241
255,120,58
256,110,58
257,139,58
258,129,58
259,83,59
260,75,59
261,101,58
262,93,58
263,129,44
264,111,45
265,120,45
266,240,98
267,241,124
268,240,111
269,241,138
270,240,150
271,241,163
272,241,176
273,241,189
274,240,203
275,148,202
276,249,125
277,249,110
278,249,164
279,249,177
280,46,151
