var_names,X0,X1
0,194,116
1,244,158
2,232,183
3,158,101
4,189,71
5,85,152
6,202,224
7,198,203
8,199,97
9,65,121
10,89,173
11,107,237
12,127,225
13,196,149
14,143,187
15,243,124
16,154,61
17,193,227
18,184,155
19,58,174
20,118,176
21,47,180
22,184,143
23,182,221
24,196,164
25,116,109
26,224,122
27,142,63
28,156,94
29,107,176
30,136,230
31,122,89
32,163,206
33,52,176
34,121,93
35,122,126
36,157,113
37,245,150
38,144,71
39,215,177
40,224,144
41,106,172
42,233,88
43,133,136
44,75,139
45,204,57
46,161,159
47,186,196
48,73,88
49,83,187
50,237,118
51,106,92
52,112,209
53,133,152
54,74,145
55,173,110
56,179,129
57,161,208
58,177,129
59,138,128
60,194,109
61,211,107
62,132,197
63,236,141
64,143,77
65,110,85
66,152,144
67,121,226
68,183,217
69,162,79
70,231,125
71,61,144
72,206,203
73,81,180
74,144,109
75,180,206
76,128,170
77,239,186
78,117,104
79,74,158
80,194,104
81,191,179
82,148,171
83,65,143
84,156,95
85,184,134
86,231,154
87,242,146
88,121,150
89,194,115
90,190,154
91,235,185
92,83,190
93,131,197
94,108,187
95,207,168
96,78,158
97,112,191
98,224,162
99,158,119
100,88,90
101,110,123
102,133,63
103,91,167
104,62,187
105,72,227
106,211,56
107,146,163
108,201,165
109,196,68
110,227,84
111,193,158
112,178,136
113,70,102
114,107,101
115,195,143
116,235,123
117,177,187
118,158,84
119,125,152
120,112,134
121,226,155
122,66,172
123,76,219
124,179,89
125,83,209
126,218,82
127,68,217
128,155,217
129,180,201
130,99,154
131,133,99
132,91,138
133,57,145
134,100,128
135,144,130
136,116,138
137,204,112
138,95,147
139,120,80
140,172,54
141,234,93
142,126,203
143,227,86
144,76,178
145,61,178
146,209,192
147,128,109
148,135,93
149,229,93
150,115,212
151,234,197
152,199,163
153,217,163
154,167,188
155,172,89
156,145,128
157,81,206
158,115,221
159,78,90
160,141,119
161,202,184
162,119,191
163,212,135
164,112,147
165,227,93
166,108,144
167,98,234
168,204,210
169,127,172
170,104,195
171,53,142
172,211,138
173,194,188
174,91,217
175,181,72
176,151,171
177,63,126
178,164,107
179,142,227
180,111,62
181,131,76
182,227,146
183,132,158
184,183,147
185,166,208
186,214,101
187,102,66
188,90,67
189,202,177
190,127,241
191,194,230
192,201,164
193,65,203
194,73,161
195,186,224
196,153,135
197,153,217
198,73,164
199,147,93
200,211,147
201,163,150
202,58,131
203,81,175
204,82,180
205,81,158
206,242,126
207,212,112
208,73,96
209,68,111
210,240,136
211,186,197
212,179,170
213,113,237
214,94,145
215,123,73
216,231,197
217,123,229
