var_names,X0,X1
0,200,145
1,215,71
2,142,194
3,210,75
4,213,89
5,202,152
6,200,53
7,82,206
8,220,70
9,78,234
10,215,78
11,201,56
12,217,85
13,214,75
14,69,179
15,150,127
16,163,177
17,212,70
18,213,108
19,215,84
20,58,193
21,120,191
22,133,169
23,165,162
24,91,195
25,210,75
26,173,169
27,122,221
28,214,71
29,70,227
30,220,82
31,52,188
32,91,195
33,208,156
34,141,210
35,210,84
36,157,128
37,156,160
38,209,92
39,83,213
40,165,196
41,65,230
42,212,71
43,213,76
44,166,127
45,105,196
46,154,164
47,203,146
48,213,83
49,112,223
50,128,176
51,175,97
52,213,82
53,216,85
54,208,80
55,130,216
56,198,205
57,186,161
58,170,199
59,101,230
60,120,191
61,162,178
62,198,165
63,156,160
64,209,72
65,58,192
66,203,77
67,66,204
68,137,223
69,76,232
70,70,234
71,213,77
72,114,211
73,212,85
74,155,50
75,133,170
76,221,195
77,76,183
78,89,201
79,97,169
80,84,212
81,219,76
82,211,78
83,203,144
84,202,146
85,147,222
86,57,193
87,207,203
88,178,93
89,103,158
90,157,128
91,52,192
92,67,231
93,216,83
94,218,84
95,215,69
96,52,192
97,181,161
98,58,208
99,155,99
100,209,76
101,125,220
102,89,201
103,105,175
104,201,53
105,85,184
106,98,178
107,103,192
108,156,204
109,202,74
110,212,83
111,159,174
112,62,195
113,213,75
114,59,199
115,212,69
116,216,82
117,46,192
118,215,80
119,64,185
120,217,84
121,168,157
122,46,190
123,81,214
124,210,89
125,214,79
126,55,227
127,55,227
128,131,202
129,133,172
130,213,81
131,179,164
132,95,174
133,207,71
134,211,86
135,187,163
136,194,138
137,218,79
138,218,70
139,152,199
140,162,170
141,151,183
142,218,82
143,79,229
144,143,163
145,216,87
146,195,149
147,139,168
148,208,78
149,159,174
150,210,68
151,127,180
152,155,50
153,205,79
154,125,172
155,211,76
156,152,162
157,98,230
158,50,198
159,214,65
160,110,177
161,112,204
162,202,57
163,86,200
164,86,200
165,51,186
166,134,183
167,160,152
168,59,193
169,102,151
170,190,159
171,80,201
172,101,220
173,129,204
174,81,226
175,123,141
176,86,176
177,144,156
178,223,186
179,183,154
180,55,164
181,60,197
182,206,155
183,204,137
184,110,220
185,55,228
186,96,225
187,166,174
188,144,125
189,64,163
190,79,180
191,80,202
192,211,196
193,67,178
194,159,90
195,196,157
196,231,173
197,68,187
198,117,180
199,75,228
200,154,172
201,106,219
202,131,148
203,133,219
204,160,148
205,154,199
206,86,159
207,142,163
208,75,230
209,113,150
210,104,224
211,58,186
212,86,176
213,75,162
214,109,204
215,55,228
216,57,234
217,73,162
218,164,165
219,154,199
220,86,191
221,170,157
222,174,165
223,158,163
224,219,187
225,104,221
226,197,56
227,86,159
228,171,143
229,56,164
230,210,163
231,125,142
232,55,183
233,191,144
234,60,188
235,73,204
236,143,159
237,121,135
238,157,115
239,122,192
240,67,169
241,123,141
242,62,186
243,129,203
244,58,229
245,153,135
246,143,216
247,165,110
248,64,175
249,167,151
250,158,163
251,155,90
252,209,112
253,218,152
254,197,192
255,68,207
256,221,123
257,159,148
258,125,142
259,96,184
260,62,162
261,87,191
262,122,192
263,128,189
264,74,185
265,176,112
266,100,166
267,139,136
268,117,180
269,55,183
270,164,93
271,187,59
272,114,173
273,143,171
274,74,222
275,52,177
276,166,151
277,208,113
278,162,172
279,47,159
280,130,149
281,173,164
282,157,47
283,195,160
284,214,163
285,109,205
286,171,147
287,112,191
288,190,159
289,121,135
290,202,178
291,198,157
292,93,217
293,180,192
294,200,115
295,58,234
296,134,146
297,157,115
298,145,157
299,131,215
300,103,155
301,161,196
302,164,152
303,157,47
304,208,124
305,214,123
306,154,192
307,130,187
308,124,195
309,103,230
310,87,217
311,67,219
312,166,159
313,180,215
314,124,195
315,79,181
316,87,217
317,172,104
318,77,232
319,54,192
320,156,113
321,88,218
322,148,164
323,66,188
324,188,106
325,212,123
326,167,147
327,158,155
328,154,192
329,216,124
330,237,187
331,149,196
332,86,222
333,119,168
334,162,158
335,88,218
336,156,113
337,165,194
338,167,92
339,129,162
340,221,86
341,68,220
342,170,214
343,102,228
344,138,160
345,154,173
346,54,192
347,124,188
348,109,229
349,185,200
350,125,227
351,105,196
352,201,69
353,53,206
354,112,204
355,124,179
356,123,189
357,82,196
358,115,183
359,200,66
360,90,146
361,193,61
362,208,77
363,202,78
364,226,184
365,47,242
366,124,179
367,197,62
368,201,74
369,200,78
370,202,87
371,122,223
372,131,212
373,125,196
374,233,191
375,204,80
376,53,206
377,161,204
378,113,176
379,200,78
380,217,88
381,92,189
382,62,182
383,188,206
384,177,212
385,90,146
386,173,51
387,199,75
388,156,180
389,203,57
390,144,221
391,130,184
392,188,153
393,125,196
394,199,197
395,122,223
396,122,180
397,201,86
398,200,65
399,188,61
400,198,72
401,202,80
402,205,88
403,137,188
404,152,210
405,171,215
406,74,238
407,203,85
408,201,71
409,200,55
410,112,210
411,125,227
412,86,209
413,202,54
414,156,180
415,99,223
416,188,61
417,62,196
418,109,219
419,204,78
420,168,205
421,175,192
422,222,180
423,119,224
424,226,184
425,86,209
426,203,81
427,80,238
428,108,183
429,119,225
430,82,152
431,193,61
432,199,64
433,116,194
434,200,71
435,209,196
436,122,180
437,175,156
438,222,180
439,232,177
440,188,206
441,138,180
442,54,215
443,151,182
444,75,207
445,126,197
446,110,213
447,130,222
448,146,192
449,121,144
450,65,219
451,160,108
452,182,176
453,135,193
454,70,226
455,185,170
456,227,197
457,171,172
458,183,158
459,78,157
460,155,162
461,159,109
462,57,167
463,200,164
464,120,194
465,102,207
466,123,208
467,219,65
468,109,184
469,105,142
470,116,198
471,217,164
472,186,64
473,140,161
474,185,132
475,208,158
476,123,134
477,191,157
478,119,198
479,81,201
480,114,144
481,192,186
482,66,205
483,191,157
484,51,211
485,156,204
486,170,189
487,161,172
488,104,147
489,214,157
490,123,208
491,54,215
492,202,174
493,78,157
494,193,180
495,155,162
496,190,58
497,48,205
498,210,86
499,192,164
500,218,171
501,111,147
502,101,211
503,100,213
504,59,217
505,193,175
506,166,173
507,95,202
508,217,171
509,121,144
510,120,194
511,175,179
512,70,207
513,201,165
514,190,58
515,134,190
516,123,134
517,192,164
518,213,175
519,150,211
520,168,110
521,110,147
522,186,164
523,197,164
524,144,126
525,209,172
526,160,117
527,182,177
528,198,174
529,59,212
530,71,212
531,167,165
532,193,175
533,136,174
534,177,164
535,128,154
536,58,188
537,121,195
538,201,164
539,172,199
540,188,146
541,51,228
542,88,224
543,126,178
544,100,222
545,128,219
546,227,197
547,168,122
548,137,177
549,76,214
550,192,63
551,126,179
552,48,159
553,153,217
554,137,193
555,61,233
556,189,112
557,168,177
558,121,195
559,216,195
560,74,232
561,194,187
562,136,132
563,134,225
564,195,153
565,145,129
566,187,115
567,169,168
568,138,133
569,178,69
570,131,189
571,123,221
572,144,210
573,225,194
574,216,61
575,51,213
576,121,235
577,106,205
578,139,126
579,215,65
580,114,215
581,101,188
582,188,146
583,202,114
584,116,179
585,172,55
586,91,214
587,112,195
588,93,153
589,189,112
590,90,187
591,165,52
592,192,180
593,148,197
594,119,136
595,121,210
596,83,228
597,191,58
598,175,45
599,177,178
600,53,160
601,167,208
602,230,207
603,191,58
604,230,187
605,179,111
606,118,195
607,103,149
608,203,170
609,166,146
610,219,83
611,112,183
612,49,212
613,171,169
614,180,138
615,198,202
616,200,140
617,88,224
618,196,94
619,50,212
620,91,214
621,166,198
622,221,193
623,77,228
624,92,211
625,221,170
626,74,187
627,115,193
628,76,195
629,225,194
630,121,210
631,192,63
632,155,138
633,135,194
634,170,212
635,49,181
636,119,188
637,87,177
638,203,196
639,232,181
640,99,194
641,157,216
642,198,199
643,97,194
644,94,185
645,205,117
646,47,213
647,113,134
648,199,123
649,204,197
650,206,186
651,95,208
652,53,226
653,156,168
654,187,138
655,198,136
656,178,206
657,57,162
658,124,138
659,156,120
660,139,125
661,177,204
662,223,174
663,194,129
664,185,131
665,86,233
666,58,163
667,186,130
668,222,199
669,95,173
670,156,167
671,205,60
672,167,151
673,218,108
674,186,201
675,58,163
676,188,205
677,189,133
678,190,65
679,214,190
680,220,184
681,147,217
682,159,146
683,156,168
684,207,187
685,96,229
686,62,225
687,126,132
688,67,235
689,53,226
690,162,83
691,137,161
692,81,159
693,193,197
694,161,195
695,157,216
696,46,234
697,171,154
698,190,65
699,114,166
700,84,202
701,184,162
702,219,192
703,219,122
704,230,187
705,215,192
706,86,181
707,195,202
708,156,167
709,230,177
710,149,197
711,222,199
712,149,167
713,156,120
714,201,114
715,219,119
716,145,167
717,140,159
718,215,191
719,159,146
720,174,194
721,193,126
722,204,119
723,58,219
724,195,193
725,208,99
726,202,197
727,87,177
728,189,133
729,156,168
730,132,159
731,203,83
732,166,162
733,205,64
734,198,162
735,66,213
736,183,206
737,223,174
738,77,175
739,214,183
740,162,190
741,97,194
742,210,88
743,226,193
744,208,196
745,193,197
746,59,161
747,230,187
748,86,181
749,229,190
750,118,163
751,180,157
752,220,71
753,95,173
754,226,193
755,204,84
756,58,220
757,58,219
758,238,185
759,77,193
760,190,205
761,153,165
762,167,130
763,192,187
764,166,162
765,156,168
766,179,200
767,224,183
768,202,62
769,219,124
770,215,196
771,200,202
772,224,183
773,86,233
774,145,153
775,76,175
776,152,214
777,162,163
778,71,184
779,57,199
780,75,182
781,62,199
782,60,186
783,98,210
784,56,194
785,124,167
786,154,160
787,105,177
788,103,219
789,116,209
790,129,215
791,167,149
792,99,178
793,155,193
794,190,148
795,57,199
796,91,191
797,123,168
798,103,216
799,205,128
800,90,181
801,90,175
802,89,183
803,115,189
804,138,170
805,108,175
806,73,203
807,55,226
808,136,217
809,100,225
810,154,159
811,72,220
812,192,145
813,139,208
814,122,175
815,71,185
816,102,181
817,86,174
818,139,171
819,192,145
820,153,213
821,148,158
822,92,178
823,90,181
824,190,148
825,149,159
826,111,174
827,72,157
828,86,174
829,161,153
830,91,191
831,157,174
832,57,210
833,102,226
834,92,181
835,74,157
836,140,217
837,155,193
838,154,198
839,72,223
840,108,222
841,54,186
842,140,184
843,154,198
844,154,159
845,173,153
846,157,174
847,154,160
848,55,226
849,75,229
850,123,168
851,57,210
852,125,214
853,56,194
854,72,177
855,106,182
856,100,210
857,122,175
858,123,203
859,169,158
860,54,223
861,129,134
862,117,222
863,90,171
864,90,175
865,71,202
866,178,152
867,89,183
868,54,223
869,151,167
870,67,179
871,104,175
872,74,227
873,155,156
874,119,198
875,124,167
876,53,208
877,67,227
878,109,215
879,90,218
880,59,225
881,87,226
882,89,230
883,74,226
884,173,208
885,158,193
886,158,200
887,159,193
888,105,216
889,124,210
890,156,182
891,178,198
892,156,214
893,126,213
894,97,214
895,130,205
896,83,227
897,53,208
898,123,222
899,90,216
900,84,223
901,165,199
902,106,224
903,222,188
904,89,231
905,120,219
906,57,227
907,76,220
908,142,199
909,87,226
910,117,217
911,168,207
912,125,212
913,102,220
914,89,228
915,171,205
916,158,200
917,73,228
918,76,221
919,111,222
920,157,196
921,162,197
922,75,233
923,57,227
924,94,222
925,91,228
926,47,228
927,88,213
928,70,232
929,117,209
930,152,202
931,120,209
932,123,208
933,65,226
934,159,193
935,129,216
936,107,221
937,101,223
938,88,213
939,74,226
940,102,217
941,108,226
942,92,226
943,129,219
944,55,232
945,158,208
946,158,193
947,171,209
948,57,226
949,152,199
950,138,214
951,140,207
952,141,201
953,75,218
954,86,213
955,158,208
956,132,210
957,109,222
958,86,213
959,120,210
960,120,204
961,108,216
962,130,217
963,56,228
964,80,222
965,190,201
966,67,223
967,53,229
968,101,209
969,125,212
970,90,226
971,75,221
972,129,213
973,53,229
974,173,210
975,87,212
976,108,208
977,114,223
978,91,228
979,58,235
980,156,213
981,53,230
982,124,207
983,120,214
984,57,226
985,112,214
986,69,231
987,68,230
988,55,222
989,184,197
990,78,221
991,122,219
992,58,224
993,89,228
994,123,216
995,125,214
996,108,226
997,157,207
998,96,223
999,90,226
1000,123,204
1001,72,216
1002,103,225
1003,151,184
1004,52,233
1005,124,210
1006,184,198
1007,153,202
1008,157,207
1009,147,206
1010,169,197
1011,123,217
1012,161,207
1013,57,205
1014,93,222
1015,59,222
1016,103,216
1017,143,207
1018,153,197
1019,59,225
1020,140,206
1021,68,221
1022,160,212
1023,76,234
1024,134,202
1025,131,209
1026,123,217
1027,160,210
1028,123,216
1029,157,196
1030,120,214
1031,86,182
1032,99,225
1033,123,208
1034,140,205
1035,68,221
1036,168,156
1037,89,230
1038,55,232
1039,59,231
1040,145,198
1041,53,230
1042,106,215
1043,156,213
1044,107,222
1045,156,182
1046,122,220
1047,106,221
1048,108,212
1049,87,212
1050,144,205
1051,141,209
1052,59,206
1053,156,214
1054,90,216
1055,104,223
1056,106,208
1057,133,205
1058,141,207
1059,90,218
1060,53,234
1061,172,206
1062,56,228
1063,98,222
1064,167,206
1065,126,191
1066,53,234
1067,70,225
1068,114,217
1069,59,232
1070,157,212
1071,171,207
1072,102,223
1073,190,201
1074,120,220
1075,174,152
1076,95,199
1077,157,212
1078,127,210
1079,106,218
1080,59,223
1081,89,231
1082,142,212
1083,99,212
1084,146,212
1085,134,185
1086,94,230
1087,210,193
1088,111,224
1089,104,194
1090,136,177
1091,203,200
1092,191,203
1093,236,180
1094,157,210
1095,221,192
1096,87,231
1097,193,195
1098,203,193
1099,173,197
1100,188,197
1101,140,213
1102,94,190
1103,143,180
1104,101,227
1105,71,192
1106,210,148
1107,123,183
1108,184,197
1109,101,187
1110,117,218
1111,99,227
1112,53,196
1113,83,194
1114,236,188
1115,101,227
1116,52,195
1117,146,202
1118,168,171
1119,51,226
1120,177,164
1121,148,211
1122,208,190
1123,55,225
1124,146,218
1125,126,218
1126,131,222
1127,200,195
1128,145,179
1129,48,196
1130,237,183
1131,168,196
1132,99,224
1133,66,221
1134,119,187
1135,146,178
1136,120,210
1137,121,215
1138,91,192
1139,77,217
1140,226,182
1141,117,224
1142,57,231
1143,171,168
1144,53,196
1145,206,191
1146,67,225
1147,136,184
1148,231,188
1149,153,206
1150,130,177
1151,57,231
1152,207,194
1153,94,230
1154,132,213
1155,110,226
1156,177,207
1157,97,188
1158,188,202
1159,157,205
1160,77,199
1161,161,203
1162,121,188
1163,134,180
1164,55,225
1165,102,185
1166,120,214
1167,146,173
1168,135,181
1169,101,227
1170,143,215
1171,95,229
1172,66,196
1173,158,168
1174,85,190
1175,183,171
1176,218,149
1177,211,156
1178,127,213
1179,195,191
1180,205,198
1181,47,198
1182,110,188
1183,193,198
1184,117,190
1185,121,190
1186,195,192
1187,118,189
1188,60,201
1189,165,203
1190,216,190
1191,177,208
1192,89,229
1193,235,186
1194,62,232
1195,111,211
1196,148,209
1197,212,185
1198,166,209
1199,144,172
1200,66,195
1201,162,211
1202,197,194
1203,89,229
1204,159,212
1205,148,202
1206,193,162
1207,67,228
1208,185,165
1209,96,221
1210,77,190
1211,127,219
1212,127,169
1213,63,227
1214,132,217
1215,70,227
1216,133,179
1217,113,184
1218,63,218
1219,71,192
1220,59,195
1221,146,204
1222,225,184
1223,186,197
1224,143,182
1225,193,198
1226,121,190
1227,108,185
1228,158,214
1229,235,187
1230,85,225
1231,195,192
1232,185,196
1233,120,210
1234,66,229
1235,216,191
1236,112,190
1237,120,214
1238,108,220
1239,221,189
1240,136,208
1241,157,210
1242,209,190
1243,135,218
1244,105,190
1245,95,219
1246,126,187
1247,226,182
1248,64,203
1249,104,207
1250,154,173
1251,54,194
1252,148,173
1253,114,182
1254,89,221
1255,124,209
